"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"ALZR11","Fundo Misto: Misto","Alianza Trust Renda Imobiliária","12,21","1,1 B","2023-08-05 13:45:58.373517","1,10","1,99 %","0,83","R$ 117,79","0,73%"
"AAGR11","Fiagro: Indefinido","ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO","-","-","2023-08-05 13:45:58.323445","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AAZQ11","Fiagro: Indefinido","AZ Quest Sole","5,91","230,6 M","2023-08-05 13:45:58.326832","1,01","0,11 %","0,14","R$ 9,19","0,11%"
"ABCP11","Tijolo: Shoppings","Grand Plaza Shopping","7,84","432,2 M","2023-08-05 13:45:58.328919","0,80","0,58 %","0,50","R$ 73,00","0,68%"
"AEFI11","Fundo Misto: Educacional","FII AESAPAR","-","340,4 M","2023-08-05 13:45:58.333384","1,21","N/A %","1,24","R$ 174,90","0,00%"
"AFCR11","Papel: Papéis","FII AFINVCR","-","-","2023-08-05 13:45:58.336711","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AFHI11","Papel: Papéis","AF INVEST CRI","13,34","290,4 M","2023-08-05 13:45:58.338920","1,01","0,21 %","1,10","R$ 96,78","0,05%"
"AFOF11","Papel: Fundo de Fundos","ALIANZA FOF","-","-","2023-08-05 13:45:58.342931","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AGCX11","Tijolo: Agências de Bancos","FII AG CAIXA","-","1,3 B","2023-08-05 13:45:58.352263","11,40","N/A %","8,50","R$ 1.235,50","0,00%"
"AGRX11","Outros: Outros","Exes Araguaia","-","-","2023-08-05 13:45:58.356558","N/A","1,83 %","N/A","R$ 11,15","0,90%"
"ALMI11","Tijolo: Lajes Corporativas","Torre Almirante","-","225,5 M","2023-08-05 13:45:58.362629","0,36","-1,72 %","0,37","R$ 739,10","0,26%"
"ALMI11B","Outros: Indefinido","FII TORRE AL","-","-","2023-08-05 13:45:58.366405","N/A","N/A %","N/A","R$ 0,00","0,00%"
"ALZC11","Papel: Papéis","FII ALI CRED","-","-","2023-08-05 13:45:58.368723","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RECR11","Papel: Papéis","FII REC Recebíveis Imobiliários","12,19","2,5 B","2023-08-05 13:45:58.321222","0,93","0,93 %","0,91","R$ 88,99","0,27%"
"AMAZ11","Fiagro: Indefinido","BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO","-","-","2023-08-05 13:45:58.375949","N/A","N/A %","N/A","R$ 0,00","0,00%"
"ANCR11B","Tijolo: Shoppings","Ancar CI","2,95","1,7 B","2023-08-05 13:45:58.378271","0,97","1,07 %","42,08","R$ 3.466,00","-0,97%"
"AQLL11","Outros: Fundo de Fundos","FII AQUILLA","-","143,4 M","2023-08-05 13:45:58.382870","0,39","N/A %","N/A","R$ 385,03","0,00%"
"ARFI11B","Outros: Imóveis Industriais e Logísticos","FII AQUIL RD","-","74,3 M","2023-08-05 13:45:58.387502","0,74","N/A %","N/A","R$ 479,99","0,00%"
"ARRI11","Papel: Papéis","FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS","15,15","117,3 M","2023-08-05 13:45:58.389921","1,00","-0,22 %","0,10","R$ 9,01","-0,22%"
"ASMT11","Tijolo: Lajes Corporativas","ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO","10,93","85,7 M","2023-08-05 13:45:58.393038","0,58","-0,10 %","0,77","R$ 49,30","-1,38%"
"ATCR11","Tijolo: Lajes Corporativas","HAZ","-","79,1 M","2023-08-05 13:45:58.395472","N/A","N/A %","0,30","R$ 0,00","0,00%"
"ATSA11","Tijolo: Shoppings","Hedge Atrium Shopping Santo André","0,54","142,9 M","2023-08-05 13:45:58.397886","0,80","-1,52 %","0,05","R$ 65,00","-0,03%"
"ATSA11B","Outros: Indefinido","FII CSHGATSA","-","-","2023-08-05 13:45:58.400494","N/A","N/A %","N/A","R$ 0,00","0,00%"
"ATWN11","Fundo Misto: Indefinido","FDO. INV. IMOB. A–TOWN","-","94,7 M","2023-08-05 13:45:58.402329","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AURB11","Tijolo: Imóveis Comerciais - Outros","FII ALI URB","-","73,7 M","2023-08-05 13:45:58.403797","N/A","N/A %","0,55","R$ 0,00","0,00%"
"BARI11","Papel: Papéis","FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII","12,74","450,0 M","2023-08-05 13:45:58.405202","0,91","0,18 %","0,90","R$ 88,03","0,05%"
"BBFI11B","Tijolo: Lajes Corporativas","BB Progressivo","23,47","279,2 M","2023-08-05 13:45:58.407445","0,51","1,31 %","6,21","R$ 1.100,20","-0,88%"
"BBFO11","Papel: Fundo de Fundos","BB FUNDO DE FUNDOS","10,92","329,0 M","2023-08-05 13:45:58.409895","0,92","0,86 %","0,70","R$ 75,95","1,00%"
"BBGO11","Fiagro: Indefinido","FIAGRO BBGO","12,69","392,6 M","2023-08-05 13:45:58.411462","0,84","0,69 %","1,02","R$ 91,90","-0,86%"
"BBIM11","Papel: Papéis","BB Recebíveis Imobiliários","-","32,1 M","2023-08-05 13:45:58.413045","N/A","N/A %","0,10","R$ 0,00","0,00%"
"BBVJ11","Tijolo: Indefinido","FII C JARDIM","-","-","2023-08-05 13:45:58.418456","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BCFF11","Papel: Fundo de Fundos","BTG Fundo de Fundos","9,25","1,9 B","2023-08-05 13:45:58.420356","0,95","0,68 %","0,56","R$ 72,56","0,53%"
"BCFF11B","Outros: Indefinido","FII BC FFII","-","-","2023-08-05 13:45:58.422334","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BCIA11","Papel: Fundo de Fundos","Bradesco Carteira Imobiliária Ativa","8,86","404,0 M","2023-08-05 13:45:58.423708","0,97","-0,01 %","0,82","R$ 104,98","-0,77%"
"BCRI11","Papel: Papéis","Banestes Recebíveis Imobiliários","14,72","622,0 M","2023-08-05 13:45:58.426979","0,75","1,87 %","0,69","R$ 74,80","-0,64%"
"BDIF11","FIInfra: Fundo de Desenvolvimento","BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP","-","-","2023-08-05 13:45:58.429524","N/A","-1,33 %","N/A","R$ 92,50","-0,75%"
"BICE11","Papel: Fundo de Fundos","BRIO CRÉDITO ESTRUTURADO","13,98","76,7 M","2023-08-05 13:45:58.432123","1,02","4,28 %","7,79","R$ 1.000,00","5,49%"
"BICR11","Papel: Papéis","INTER TÍTULOS IMOB. FDO INV. IMOB.","10,36","50,4 M","2023-08-05 13:45:58.434250","0,99","26,90 %","0,66","R$ 99,96","-0,03%"
"BIPD11","Fundo Misto: Indefinido","FII BRIO IV","-","47,9 M","2023-08-05 13:45:58.439004","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BLCA11","Fundo Misto: Indefinido","BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB","5,09","218,1 M","2023-08-05 13:45:58.440364","0,97","-3,65 %","0,57","R$ 132,00","-0,75%"
"BLCP11","Tijolo: Imóveis Industriais e Logísticos","BLUECAP RENDA LOG. FDO INV. IMOB. - FII","1,69","256,6 M","2023-08-05 13:45:58.442832","0,81","-0,43 %","0,56","R$ 91,00","-0,05%"
"BLMC11","Papel: Papéis","BLUEMACAW CRÉDITO IMOBILIÁRIO","13,08","39,5 M","2023-08-05 13:45:58.444612","0,82","-0,54 %","0,97","R$ 81,01","0,01%"
"BLMG11","Tijolo: Imóveis Industriais e Logísticos","BLUEMACAW LOGÍSTICA","13,67","333,0 M","2023-08-05 13:45:58.446224","0,78","-0,96 %","0,71","R$ 68,14","0,15%"
"BLMO11","Tijolo: Lajes Corporativas","BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.","3,37","126,9 M","2023-08-05 13:45:58.448629","0,63","-3,56 %","100,00","R$ 20.999,00","-3,56%"
"BLMR11","Papel: Fundo de Fundos","BLUEMACAW RENDA + FOF","9,85","205,3 M","2023-08-05 13:45:58.450393","0,94","0,94 %","0,06","R$ 7,54","0,40%"
"BLUR11","Papel: Papéis","FII BLUE REC","12,30","8,6 M","2023-08-05 13:45:58.452365","1,05","-1,07 %","1,03","R$ 100,50","-1,07%"
"BMII11","Tijolo: Lajes Corporativas","Brasilio Machado","-","67,8 M","2023-08-05 13:45:58.453935","N/A","N/A %","0,23","R$ 0,00","0,00%"
"ALZM11","Fundo de Fundos: Fundo de Fundos","FII ALIANZME","12,30","63,9 M","2023-08-05 13:45:58.316482","1,01","1,60 %","0,85","R$ 93,75","1,14%"
"MALL11","Tijolo: Shoppings","Malls Brasil Plural","8,15","1,1 B","2023-08-05 13:45:58.318938","0,96","0,40 %","0,80","R$ 115,42","0,06%"
"SNAG11","Fiagro: Papéis","SUNO AGRO – FIAGRO-IMOBILIÁRIO","12,07","302,1 M","2023-08-05 13:45:58.311867","0,10","-89,87 %","0,12","R$ 10,21","0,29%"
"BPLC11","Fundo Misto: Misto","FII BASILICA","-","316,5 M","2023-08-05 13:45:58.471607","N/A","N/A %","14,42","R$ 0,00","0,00%"
"BPRP11","Tijolo: Imóveis Industriais e Logísticos","FDO INV IMOB - FII BRLPROP","9,75","147,3 M","2023-08-05 13:45:58.476922","1,00","17,99 %","0,90","R$ 109,14","-0,01%"
"BRCO11","Tijolo: Imóveis Industriais e Logísticos","BRESCO LOGÍSTICA - FDO INV IMOB","7,23","1,8 B","2023-08-05 13:45:58.479132","1,04","4,87 %","0,87","R$ 125,00","2,64%"
"BRCR11","Tijolo: Lajes Corporativas","BTG Pactual Corporate Office","8,27","2,7 B","2023-08-05 13:45:58.481164","0,67","-1,62 %","0,45","R$ 67,49","1,26%"
"BREV11","Tijolo: Lajes Corporativas","BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB","7,24","113,3 M","2023-08-05 13:45:58.483552","0,89","9,74 %","0,59","R$ 104,67","11,35%"
"BRHT11B","Tijolo: Hotéis","BR Hotéis","-","141,3 M","2023-08-05 13:45:58.485152","1,13","N/A %","N/A","R$ 86,80","0,00%"
"BRIM11","Fundo Misto: Fundo de Desenvolvimento","BRIO REAL ESTATE II - FDO INV IMOB","17,05","136,1 M","2023-08-05 13:45:58.486492","0,94","1,20 %","8,50","R$ 1.030,22","1,20%"
"BRIP11","Fundo Misto: Fundo de Desenvolvimento","BRIO REAL ESTATE III","12,24","204,1 M","2023-08-05 13:45:58.487819","1,00","21,05 %","9,30","R$ 950,01","-5,00%"
"BRIX11","Fundo Misto: Indefinido","FII BRIX","-","80,0 M","2023-08-05 13:45:58.489375","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BROL11","Outros: Indefinido","FII BR PROPE","-","-","2023-08-05 13:45:58.496337","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BTAG11","Fidc: Indefinido","BTG PACTUAL CRÉDITO AGRÍCOLA FIAGRO - DIREITOS CREDITÓRIOS","-","-","2023-08-05 13:45:58.498202","N/A","0,14 %","N/A","R$ 93,47","-0,88%"
"BTAL11","Tijolo: Imóveis Industriais e Logísticos","BTG PACTUAL AGRO LOGÍSTICA","10,75","626,3 M","2023-08-05 13:45:58.500444","0,87","-2,71 %","0,73","R$ 90,70","-0,60%"
"BTCI11","Outros: Papéis","FII BTG CRI","13,18","1,0 B","2023-08-05 13:45:58.502604","0,92","1,49 %","0,10","R$ 9,53","0,32%"
"BTCR11","Papel: Papéis","BTG Pactual Crédito Imobiliário","4,38","458,3 M","2023-08-05 13:45:58.504398","0,92","-2,38 %","0,90","R$ 88,00","2,98%"
"BTGM11","Outros: Indefinido","FII BTGMALLS","-","-","2023-08-05 13:45:58.505830","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BTLG11","Tijolo: Imóveis Industriais e Logísticos","BTG PACTUAL LOGISTICA FDO INV IMOB - FII","8,34","2,1 B","2023-08-05 13:45:58.507605","1,08","0,19 %","0,76","R$ 106,13","-0,21%"
"BTRA11","Fundo Misto: Indefinido","FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS","12,68","399,3 M","2023-08-05 13:45:58.510315","0,64","-1,41 %","0,56","R$ 76,31","-1,19%"
"BTSG11","Tijolo: Imóveis Industriais e Logísticos","BTSP I FDO. INVEST. IMOB","7,49","106,8 M","2023-08-05 13:45:58.512346","1,02","21,74 %","0,92","R$ 140,00","2,94%"
"BTSI11","Fundo Misto: Misto","BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO","6,01","257,9 M","2023-08-05 13:45:58.513889","0,78","-9,25 %","0,72","R$ 95,29","-9,25%"
"BVAR11","Tijolo: Varejo","Brasil Varejo","-","669,9 M","2023-08-05 13:45:58.518662","N/A","N/A %","20,49","R$ 0,00","0,00%"
"BZEL11","Fundo Misto: Misto","BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO","-","415,5 M","2023-08-05 13:45:58.520446","N/A","N/A %","5,09","R$ 0,00","0,00%"
"BZLI11","Fundo Misto: Misto","Brazil Realty","-","447,9 M","2023-08-05 13:45:58.522379","1,60","-0,58 %","N/A","R$ 17,00","-0,64%"
"CACR11","Papel: Papéis","CARTESIA FII","16,90","187,9 M","2023-08-05 13:45:58.523814","1,01","0,37 %","1,42","R$ 105,30","0,32%"
"CBOP11","Tijolo: Lajes Corporativas","Castello Branco Office Park","11,10","104,4 M","2023-08-05 13:45:58.528727","0,48","1,58 %","0,12","R$ 35,30","-1,45%"
"CCFA11","Fiagro: Indefinido","CANVAS FDO DE INV NAS CAD PROD AGRO","-","-","2023-08-05 13:45:58.530385","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CCME11","Fundo Misto: Indefinido","FII CANUMA","7,39","306,2 M","2023-08-05 13:45:58.531816","1,08","-20,54 %","1,09","R$ 110,00","8,14%"
"CCRF11","Papel: Papéis","CANVAS CRI","10,80","156,8 M","2023-08-05 13:45:58.533333","0,91","-0,09 %","1,65","R$ 90,90","-0,09%"
"CEOC11","Tijolo: Lajes Corporativas","Cyrela Commercial Properties","10,93","142,3 M","2023-08-05 13:45:58.536137","0,81","0,55 %","0,64","R$ 63,65","-0,05%"
"CEOC11B","Outros: Indefinido","FII CEO CCP","-","-","2023-08-05 13:45:58.537449","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CFHI11","Fundo Misto: Fundo de Desenvolvimento","CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO","-","60,6 M","2023-08-05 13:45:58.538740","N/A","N/A %","36,51","R$ 0,00","0,00%"
"CFII11","Fundo Misto: Indefinido","FII CF3 IMOB","-","73,4 M","2023-08-05 13:45:58.540032","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CJFI11","Fundo Misto: Misto","FDO INV IMOB CJ","-","147,2 M","2023-08-05 13:45:58.542718","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CNES11","Tijolo: Lajes Corporativas","CENESP","4,59","267,7 M","2023-08-05 13:45:58.544006","0,31","-0,43 %","0,09","R$ 28,06","-0,46%"
"CNES11B","Outros: Indefinido","FII CENESP","-","-","2023-08-05 13:45:58.545294","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CORM11","Tijolo: Lajes Corporativas","CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO","-","-","2023-08-05 13:45:58.546576","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CPFF11","Papel: Fundo de Fundos","CAPITÂNIA REIT FOF - FDO. INVEST. IMOB","8,37","211,1 M","2023-08-05 13:45:58.548829","0,91","0,87 %","0,75","R$ 75,31","-0,88%"
"CPTR11","Fiagro: Indefinido","Capitania Agro Strategies","17,20","407,1 M","2023-08-05 13:45:58.551908","0,97","1,54 %","1,35","R$ 97,94","0,15%"
"CPTS11","Papel: Papéis","Capitania Securities II","11,34","2,9 B","2023-08-05 13:45:58.553412","0,95","2,52 %","0,88","R$ 86,19","0,82%"
"CPTS11B","Papel: Papéis","FII CAPI SEC","-","-","2023-08-05 13:45:58.554934","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CRAA11","Fiagro: Indefinido","SPARTA FIAGRO FDO INV NAS CAD PROD AGRO","5,98","50,2 M","2023-08-05 13:45:58.556352","1,02","0,14 %","1,50","R$ 103,64","0,05%"
"CRFF11","Papel: Fundo de Fundos","CAIXA RIO BRAVO FDO DE FDOS INV IMOB II","9,24","62,2 M","2023-08-05 13:45:58.557683","0,89","0,02 %","0,63","R$ 80,50","0,31%"
"CTNP11","Papel: Papéis","FII FED HY","-","-","2023-08-05 13:45:58.558980","N/A","N/A %","N/A","R$ 0,00","0,00%"
"CTXT11","Tijolo: Lajes Corporativas","Centro Têxtil Internacional","-","108,5 M","2023-08-05 13:45:58.560262","0,40","-1,92 %","0,01","R$ 12,75","-3,41%"
"CVBI11","Papel: Papéis","FDO INV. IMOB. VBI CRI","12,00","1,1 B","2023-08-05 13:45:58.561550","0,98","2,43 %","1,05","R$ 94,18","1,66%"
"CVPR11","Fundo Misto: Indefinido","FII CVPAR","-","13,7 M","2023-08-05 13:45:58.562887","N/A","N/A %","1,05","R$ 0,00","0,00%"
"CXCE11B","Tijolo: Lajes Corporativas","Caixa Cedae","11,18","111,6 M","2023-08-05 13:45:58.567213","0,67","1,67 %","0,41","R$ 43,86","-0,07%"
"BMLC11B","Tijolo: Indefinido","FII BMBRC LC","-","-","2023-08-05 13:45:58.459939","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BNFS11","Tijolo: Agências de Bancos","Banrisul Novas Fronteiras","14,62","64,2 M","2023-08-05 13:45:58.462241","1,32","0,51 %","1,53","R$ 121,40","0,31%"
"CYCR11","Fundo Misto: Indefinido","CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO","13,54","160,2 M","2023-08-05 13:45:58.577410","0,93","2,47 %","0,10","R$ 9,14","0,44%"
"CYLD11","Tijolo: Imóveis Industriais e Logísticos","FII CYLD","-","104,0 M","2023-08-05 13:45:58.585030","N/A","N/A %","N/A","R$ 0,00","0,00%"
"DAMT11B","Tijolo: Shoppings","DIAMANTE FDO INV IMOB","4,54","96,4 M","2023-08-05 13:45:58.586838","1,38","-6,47 %","0,07","R$ 18,22","-7,75%"
"DCRA11","Outros: Misto","Devant","-","-","2023-08-05 13:45:58.588214","N/A","-0,11 %","N/A","R$ 9,51","-0,42%"
"DEVA11","Papel: Papéis","DEVANT RECEBÍVEIS IMOBILIÁRIOS","18,31","1,3 B","2023-08-05 13:45:58.589562","0,58","0,34 %","0,60","R$ 55,29","-0,50%"
"DLMT11","Tijolo: Varejo","DEL MONTE AJAX FDO INV IMOB","-","8,8 M","2023-08-05 13:45:58.590925","N/A","N/A %","0,01","R$ 0,00","0,00%"
"DOMC11","Tijolo: Lajes Corporativas","FII DOMO","-","242,4 M","2023-08-05 13:45:58.593605","4,43","N/A %","N/A","R$ 439,00","0,00%"
"DOVL11B","Tijolo: Lajes Corporativas","DOVEL FDO INV IMOB","5,39","79,8 M","2023-08-05 13:45:58.595716","1,00","N/A %","10,13","R$ 1.200,69","-0,40%"
"DPRO11","Tijolo: Indefinido","FII DEVA PRO","11,61","36,0 M","2023-08-05 13:45:58.597757","0,98","-3,86 %","0,83","R$ 95,00","-1,19%"
"DRIT11B","Tijolo: Lajes Corporativas","Multigestão Renda Comercial","8,31","61,5 M","2023-08-05 13:45:58.602278","0,72","0,86 %","0,80","R$ 95,06","0,03%"
"EDFO11B","Tijolo: Lajes Corporativas","Edifício Ouroinvest","10,95","42,7 M","2023-08-05 13:45:58.605786","1,05","0,01 %","1,77","R$ 189,03","0,01%"
"EDGA11","Tijolo: Lajes Corporativas","Edifício Galeria","6,51","233,5 M","2023-08-05 13:45:58.607218","0,35","0,95 %","0,07","R$ 21,20","-0,14%"
"EDGA11B","Outros: Indefinido","FII GALERIA","-","-","2023-08-05 13:45:58.608608","N/A","N/A %","N/A","R$ 0,00","0,00%"
"EGAF11","Fiagro: Indefinido","Ecoagro I","19,07","109,5 M","2023-08-05 13:45:58.609967","1,03","0,05 %","1,20","R$ 100,05","-0,05%"
"ELDO11B","Tijolo: Shoppings","Eldorado","13,97","1,1 B","2023-08-05 13:45:58.612691","0,53","N/A %","0,41","R$ 762,38","0,00%"
"EQIA11","Fiagro: Fiagro","FIAGRO EQIA","-","-","2023-08-05 13:45:58.614440","N/A","N/A %","N/A","R$ 0,00","0,00%"
"EQIN11","Papel: Papéis","FII NCH EQI","-","-","2023-08-05 13:45:58.618623","N/A","N/A %","N/A","R$ 0,00","0,00%"
"EQIR11","Fundo Misto: Indefinido","EQI RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOBILIÁRIO","37,46","50,7 M","2023-08-05 13:45:58.620973","0,88","1,71 %","0,11","R$ 8,90","0,45%"
"ERCR11","Tijolo: Varejo","ESTOQUE RESIDENCIAL E COMERCIAL RJ","1,22","138,5 M","2023-08-05 13:45:58.623111","1,30","N/A %","139,45","R$ 76.000,00","0,00%"
"ERPA11","Tijolo: Lajes Corporativas","EUROPA 105 - FDO INV IMOB","7,02","68,7 M","2023-08-05 13:45:58.625002","0,87","-0,67 %","0,73","R$ 119,00","0,68%"
"ESTQ11","Fundo Misto: Misto","FDO INV IMOB POLO ESTOQUE II","-","3,2 M","2023-08-05 13:45:58.626414","N/A","N/A %","N/A","R$ 0,00","0,00%"
"EURO11","Tijolo: Imóveis Industriais e Logísticos","EUROPAR","8,88","124,8 M","2023-08-05 13:45:58.627830","0,77","2,08 %","1,85","R$ 250,00","2,06%"
"EVBI11","Fundo Misto: Misto","VBI CONSUMO ESSEN","9,31","212,3 M","2023-08-05 13:45:58.629210","0,99","0,37 %","0,86","R$ 97,86","0,37%"
"EXES11","Fundo de Fundos: Indefinido","FII EXES","9,70","38,5 M","2023-08-05 13:45:58.630607","0,94","-14,60 %","1,04","R$ 88,00","-14,60%"
"FAED11B","Outros: Indefinido","FII ANH EDUC","-","-","2023-08-05 13:45:58.637363","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FAMB11B","Tijolo: Lajes Corporativas","Edifício Almirante Barroso","-","308,4 M","2023-08-05 13:45:58.640395","0,33","5,44 %","9,16","R$ 959,49","5,44%"
"FARM11","Outros: Misto","SANTA FÉ TERRA MATER","-","-","2023-08-05 13:45:58.642226","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FATN11","Tijolo: Lajes Corporativas","FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I","9,57","126,2 M","2023-08-05 13:45:58.644268","0,98","0,08 %","0,84","R$ 97,50","-0,40%"
"FCAS11","Outros: Lajes Corporativas","FII CASTELO","-","80,7 M","2023-08-05 13:45:58.645939","N/A","N/A %","0,12","R$ 0,00","0,00%"
"FCFL11","Tijolo: Educacional","Campus Faria Lima","8,33","403,7 M","2023-08-05 13:45:58.647644","1,00","0,06 %","0,79","R$ 115,75","-0,19%"
"FCFL11B","Outros: Indefinido","FII CAMPUSFL","-","-","2023-08-05 13:45:58.651887","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FEXC11","Papel: Papéis","BTG Pactual Fundo de CRI","134,61","1,0 B","2023-08-05 13:45:58.653603","0,10","-3,91 %","0,95","R$ 83,50","0,00%"
"FEXC11B","Outros: Indefinido","FII EXCELLEN","-","-","2023-08-05 13:45:58.655064","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FFCI11","Tijolo: Indefinido","FII RIOB RC","-","-","2023-08-05 13:45:58.656375","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FIGS11","Tijolo: Shoppings","General Shopping Ativo e Renda","7,82","216,3 M","2023-08-05 13:45:58.660219","0,86","1,72 %","0,45","R$ 65,12","0,52%"
"FIIB11","Tijolo: Imóveis Industriais e Logísticos","Industrial do Brasil","8,11","316,2 M","2023-08-05 13:45:58.661496","1,12","2,37 %","3,70","R$ 517,98","1,40%"
"FIIP11B","Tijolo: Imóveis Industriais e Logísticos","RB Capital Renda I","9,31","188,4 M","2023-08-05 13:45:58.662780","0,87","-0,57 %","1,44","R$ 175,99","1,85%"
"FINF11","Tijolo: Imóveis Industriais e Logísticos","Infra Real State","-","33,6 M","2023-08-05 13:45:58.664076","N/A","N/A %","0,28","R$ 0,00","0,00%"
"FISC11","Tijolo: Lajes Corporativas","FDO INV IMOB SC 401","2,09","195,8 M","2023-08-05 13:45:58.665375","1,43","N/A %","0,45","R$ 165,00","0,00%"
"FISD11","Papel: Papéis","São Domingos","-","71,6 M","2023-08-05 13:45:58.668630","N/A","N/A %","6,53","R$ 0,00","0,00%"
"FIVN11","Tijolo: Shoppings","Vida Nova","-","72,3 M","2023-08-05 13:45:58.670497","0,52","-0,99 %","N/A","R$ 4,00","0,25%"
"FLCI11","Outros: Indefinido","FII LCI PREM","-","-","2023-08-05 13:45:58.674032","N/A","N/A %","N/A","R$ 0,00","0,00%"
