"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"FLMA11","Tijolo: Lajes Corporativas","Continental Square Faria Lima","7,17","220,7 M","2023-08-05 13:45:58.680050","0,87","-3,23 %","0,97","R$ 138,32","-3,75%"
"FLRP11","Tijolo: Shoppings","Floripa Shopping","8,25","119,0 M","2023-08-05 13:45:58.684864","1,04","-2,71 %","13,50","R$ 1.900,00","-2,71%"
"FLRP11B","Outros: Indefinido","FII FLORIPA","-","-","2023-08-05 13:45:58.686478","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FMOF11","Tijolo: Lajes Corporativas","Memorial Office","0,81","60,3 M","2023-08-05 13:45:58.687799","0,48","3,64 %","0,15","R$ 57,00","-0,02%"
"FPAB11","Tijolo: Lajes Corporativas","Projeto Água Branca","11,77","280,7 M","2023-08-05 13:45:58.690390","0,49","2,04 %","5,67","R$ 185,00","0,82%"
"CXCO11","Tijolo: Lajes Corporativas","FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS","10,93","388,8 M","2023-08-05 13:45:58.570577","0,86","-0,18 %","0,74","R$ 85,25","0,11%"
"CXRI11","Papel: Fundo de Fundos","Caixa Rio Bravo","8,37","143,1 M","2023-08-05 13:45:58.572547","0,89","1,48 %","0,57","R$ 80,40","1,11%"
"FLEM11","Fiagro: Indefinido","051 AGRO FAZENDAS II FDO DE INV FIAGRO IMOBILIÁRIO","-","283,9 M","2023-08-05 13:45:58.677119","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FVBI11B","Outros: Indefinido","FII VBI 4440","-","-","2023-08-05 13:45:58.700318","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FVPQ11","Tijolo: Shoppings","Via Parque Shopping","9,41","539,3 M","2023-08-05 13:45:58.703361","0,62","1,58 %","1,14","R$ 118,86","-0,74%"
"FZDA11","Fiagro: Indefinido","051 Agro","1,90","158,0 M","2023-08-05 13:45:58.704821","1,17","1,76 %","2,26","R$ 120,99","0,83%"
"GAME11","Fundo Misto: Indefinido","FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I","13,16","220,5 M","2023-08-05 13:45:58.708745","0,92","1,08 %","0,10","R$ 9,34","0,21%"
"GCFF11","Papel: Fundo de Fundos","GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.","9,58","27,9 M","2023-08-05 13:45:58.710192","0,89","0,61 %","0,75","R$ 69,30","0,14%"
"GCRA11","Fiagro: Indefinido","FIAGRO GLPG","16,43","171,6 M","2023-08-05 13:45:58.711567","0,95","-2,55 %","1,28","R$ 91,83","-1,90%"
"GESE11B","Tijolo: Educacional","FDO INV IMOB GENERAL SEVERIANO","11,03","91,6 M","2023-08-05 13:45:58.714284","0,86","N/A %","14,60","R$ 1.520,00","0,00%"
"GGRC11","Tijolo: Imóveis Industriais e Logísticos","GGR Covepi Renda","9,98","926,2 M","2023-08-05 13:45:58.715669","1,05","-0,88 %","0,95","R$ 119,69","-0,42%"
"GLPL11","Outros: Indefinido","FII GLP LOG","-","-","2023-08-05 13:45:58.718646","N/A","N/A %","N/A","R$ 0,00","0,00%"
"GRLV11","Tijolo: Imóveis Industriais e Logísticos","FII LOUVEIRA","-","6,4 M","2023-08-05 13:45:58.720716","17,51","N/A %","0,17","R$ 104,51","0,00%"
"GRWA11","Fiagro: Indefinido","GREENWICH AGRO FIAGRO","4,26","12,9 M","2023-08-05 13:45:58.722180","1,02","0,19 %","0,14","R$ 10,33","0,10%"
"GTLG11","Tijolo: Imóveis Industriais e Logísticos","GTIS BRAZIL LOGISTICS","12,94","651,1 M","2023-08-05 13:45:58.724799","0,73","1,54 %","0,84","R$ 66,00","0,76%"
"GTWR11","Tijolo: Lajes Corporativas","FDO INV IMOB GREEN TOWERS","11,10","1,1 B","2023-08-05 13:45:58.726096","0,88","-0,87 %","0,79","R$ 83,85","-0,05%"
"GWIR11","Outros: Shoppings","FII GWI RI","-","91,2 M","2023-08-05 13:45:58.727382","0,74","N/A %","N/A","R$ 175,99","0,00%"
"GZIT11","Fundo Misto: Indefinido","FII GAZIT","-","1,8 B","2023-08-05 13:45:58.728664","N/A","N/A %","N/A","R$ 0,00","0,00%"
"HAAA11","Tijolo: Lajes Corporativas","HEDGE AAA","9,18","278,9 M","2023-08-05 13:45:58.729942","0,77","-1,57 %","0,29","R$ 62,01","-3,11%"
"HABT11","Papel: Papéis","HABITAT II - FDO INV IMOB","14,32","810,2 M","2023-08-05 13:45:58.731224","0,95","0,32 %","1,20","R$ 95,10","0,06%"
"HBRH11","Tijolo: Lajes Corporativas","FDO.INVEST. IMOB. MULTI RENDA URBANA","7,74","311,4 M","2023-08-05 13:45:58.735516","0,85","1,20 %","0,54","R$ 95,12","1,20%"
"HBTT11","Papel: Papéis","Habitat I","-","-","2023-08-05 13:45:58.737016","N/A","N/A %","16,58","R$ 1.055,00","0,00%"
"HCHG11","Papel: Papéis","HECTARE RECEBÍVEIS HIGH GRADE","15,09","117,1 M","2023-08-05 13:45:58.738324","0,82","-0,90 %","1,05","R$ 80,16","-1,00%"
"HCPR11","Fundo Misto: Indefinido","FII HECT PRP","-","-","2023-08-05 13:45:58.739684","N/A","N/A %","N/A","R$ 0,00","0,00%"
"HCRI11","Tijolo: Hospitalar","Hospital da Criança","8,66","61,6 M","2023-08-05 13:45:58.742278","0,96","2,48 %","2,68","R$ 297,20","2,47%"
"HCRI11B","Outros: Indefinido","FII CRIANCA","-","-","2023-08-05 13:45:58.743781","N/A","N/A %","N/A","R$ 0,00","0,00%"
"HCST11","Fundo Misto: Fundo de Desenvolvimento","HECTARE DESENV. STUDENT HOUSING","-","47,8 M","2023-08-05 13:45:58.745143","0,49","-1,21 %","N/A","R$ 50,01","-1,94%"
"HCTR11","Papel: Papéis","HECTARE CE - FDO INV IMOB","19,03","2,4 B","2023-08-05 13:45:58.746480","0,50","0,16 %","0,50","R$ 54,91","0,09%"
"HDOF11","Fundo Misto: Fundo de Desenvolvimento","FII HEDGE OF","-","201,1 M","2023-08-05 13:45:58.749107","1,18","N/A %","N/A","R$ 115,00","-11,54%"
"HFOF11","Papel: Fundo de Fundos","Hedge Top FOFII 3","9,11","1,9 B","2023-08-05 13:45:58.752160","1,00","0,84 %","0,63","R$ 82,35","1,33%"
"HGAG11","Fiagro: Indefinido","High Fundo de Investimento Agro","19,06","5,7 M","2023-08-05 13:45:58.754024","1,47","-7,24 %","0,46","R$ 25,00","-8,46%"
"HGBS11","Tijolo: Shoppings","CSHG Brasil Shopping","7,48","2,2 B","2023-08-05 13:45:58.755608","1,02","2,29 %","1,55","R$ 226,08","0,49%"
"HGFF11","Papel: Fundo de Fundos","CSHG IMOB. FOF - FDO INV. IMOB. - FII","8,79","266,3 M","2023-08-05 13:45:58.758287","0,95","1,43 %","0,65","R$ 88,75","1,15%"
"HGIC11","Papel: Papéis","HGI CRÉDITOS IMOBILIÁRIOS","11,56","54,1 M","2023-08-05 13:45:58.759583","0,91","-0,08 %","1,00","R$ 106,42","0,91%"
"HGJH11","Tijolo: Lajes Corporativas","FII CSHGJHSF","-","524,4 M","2023-08-05 13:45:58.760917","0,64","N/A %","0,80","R$ 191,29","0,00%"
"HGLG11","Tijolo: Imóveis Industriais e Logísticos","CGHG Logística","8,99","3,6 B","2023-08-05 13:45:58.762250","1,06","0,37 %","1,10","R$ 163,56","0,22%"
"HGPO11","Tijolo: Lajes Corporativas","CSHG PRIME OFFICES FDO INV IMOB","6,49","524,4 M","2023-08-05 13:45:58.763557","0,98","0,30 %","1,60","R$ 292,50","-0,67%"
"HGRE11","Tijolo: Lajes Corporativas","CSHG Real Estate","7,23","1,8 B","2023-08-05 13:45:58.764844","0,91","4,40 %","0,78","R$ 142,00","1,88%"
"HGRS11","Tijolo: Imóveis Residenciais","FII CSHG RSD","-","149,9 M","2023-08-05 13:45:58.766196","N/A","N/A %","N/A","R$ 0,00","0,00%"
"HMOC11","Tijolo: Shoppings","FII HEDMOCA","-","91,2 M","2023-08-05 13:45:58.772544","0,95","N/A %","23,80","R$ 226,95","0,00%"
"HOFC11","Tijolo: Lajes Corporativas","FII HOFFICEI","9,33","337,6 M","2023-08-05 13:45:58.774420","0,27","1,60 %","0,20","R$ 24,07","0,29%"
"HOSI11","Tijolo: Imóveis Residenciais","FDO. INV. IMOB. HOUSI","11,33","52,8 M","2023-08-05 13:45:58.776332","0,74","-1,10 %","0,47","R$ 68,24","-0,16%"
"HPDP11","Tijolo: Shoppings","HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.","6,92","260,3 M","2023-08-05 13:45:58.777768","0,99","-0,10 %","0,53","R$ 88,88","-0,02%"
"HRDF11","Fundo Misto: Fundo de Desenvolvimento","HEDGE REALTY DEVELOPMENT FDO INV IMOB","-","9,3 M","2023-08-05 13:45:58.779427","0,69","-3,85 %","6,80","R$ 4,24","1,19%"
"HREC11","Papel: Papéis","HEDGE RECEBIVEIS IMOB","12,79","483,0 M","2023-08-05 13:45:58.780997","0,89","0,35 %","0,85","R$ 83,47","0,02%"
"HSLG11","Tijolo: Imóveis Industriais e Logísticos","HSI LOGÍSTICA","8,56","1,3 B","2023-08-05 13:45:58.787214","0,96","3,85 %","0,73","R$ 99,90","3,36%"
"HSML11","Tijolo: Shoppings","HSI MALL FDO INV IMOB","8,93","1,5 B","2023-08-05 13:45:58.788907","1,01","1,55 %","0,74","R$ 95,70","0,62%"
"HSRE11","Fundo Misto: Misto","HSI RENDA IMOB","7,28","830,7 M","2023-08-05 13:45:58.790257","1,11","-0,39 %","0,60","R$ 103,40","-0,39%"
"HTMX11","Tijolo: Hotéis","Hotel Maxinvest","11,02","207,3 M","2023-08-05 13:45:58.791775","0,96","2,75 %","1,87","R$ 132,48","1,67%"
"HTMX11B","Outros: Indefinido","FII HOTEL MX","-","-","2023-08-05 13:45:58.793149","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FRHY11","Fundo Misto: Indefinido","FII FRONT","-","9,5 M","2023-08-05 13:45:58.693159","N/A","N/A %","1,03","R$ 0,00","0,00%"
"FTCE11B","Fundo Misto: Misto","Oportunity","8,16","2,7 B","2023-08-05 13:45:58.694517","1,02","N/A %","112,96","R$ 2.900,89","1,08%"
"HUSI11","Tijolo: Hospitalar","HUSI FDO INV. IMOB.","9,25","128,9 M","2023-08-05 13:45:58.797300","1,03","-2,00 %","7,63","R$ 1.136,80","-2,00%"
"IAAG11","Fiagro: Indefinido","INTER AMERRA - FIAGRO","0,50","52,4 M","2023-08-05 13:45:58.798672","1,04","2,03 %","0,05","R$ 10,04","0,30%"
"IAGR11","Fiagro: Fiagro","FIAGRO SFI","-","-","2023-08-05 13:45:58.802348","N/A","N/A %","N/A","R$ 0,00","0,00%"
"IDFI11","Fundo Misto: Indefinido","FII UNIDADES","15,07","82,4 M","2023-08-05 13:45:58.807172","0,94","-0,03 %","0,40","R$ 37,48","5,55%"
"IFID11","Fundo de Fundos: Indefinido","FII IFI-D","-","-","2023-08-05 13:45:58.808471","N/A","N/A %","N/A","R$ 0,00","0,00%"
"IFIE11","Fundo de Fundos: Indefinido","FII IFI-E","-","-","2023-08-05 13:45:58.809769","N/A","N/A %","N/A","R$ 0,00","0,00%"
"IFRA11","FIInfra: Fundo de Desenvolvimento","ITAU FDO INV COTAS FDO INCENT DE INV INFR. RF CP","-","-","2023-08-05 13:45:58.811132","N/A","0,16 %","N/A","R$ 104,12","0,42%"
"IRDM11","Papel: Papéis","Iridium Recebíveis Imobiliários","12,90","3,3 B","2023-08-05 13:45:58.812433","0,97","0,63 %","0,87","R$ 87,30","0,14%"
"IRIM11","Fundo Misto: Indefinido","IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO","13,02","184,2 M","2023-08-05 13:45:58.813732","1,00","-0,27 %","1,09","R$ 95,54","0,23%"
"ITIP11","Papel: Papéis","FII INTER IP","13,05","58,6 M","2023-08-05 13:45:58.815167","0,96","-1,72 %","0,79","R$ 75,48","-2,33%"
"ITIT11","Papel: Fundo de Fundos","FII INTER IT","8,97","78,0 M","2023-08-05 13:45:58.816745","0,90","0,77 %","0,66","R$ 78,25","0,58%"
"JBFO11","Fundo Misto: Papéis","JBFO FOF FDO INV. IMOB.","7,30","113,5 M","2023-08-05 13:45:58.821742","1,04","N/A %","0,54","R$ 92,01","-0,59%"
"JCDA11","Fundo Misto: Misto","FII JCDA I","-","160,2 M","2023-08-05 13:45:58.823132","N/A","N/A %","N/A","R$ 0,00","0,00%"
"JGPX11","Fiagro: Indefinido","FIAGRO JGP","14,88","81,8 M","2023-08-05 13:45:58.825737","1,00","0,30 %","1,17","R$ 99,80","0,12%"
"JPPA11","Papel: Papéis","JPP ALLOCATION MOGNO - FDO INV IMOB","17,25","89,7 M","2023-08-05 13:45:58.827030","1,00","0,44 %","1,25","R$ 98,75","-0,10%"
"JPPC11","Fundo Misto: Fundo de Desenvolvimento","JPP Capital","0,09","22,3 M","2023-08-05 13:45:58.828321","0,49","-0,05 %","0,17","R$ 199,99","4,22%"
"JRDM11","Tijolo: Shoppings","Shopping Jardim Sul","8,78","224,1 M","2023-08-05 13:45:58.829606","0,97","3,66 %","0,40","R$ 85,90","1,06%"
"JRDM11B","Outros: Indefinido","FII SHOPJSUL","-","-","2023-08-05 13:45:58.830896","N/A","N/A %","N/A","R$ 0,00","0,00%"
"JSRE11","Fundo Misto: Misto","JS Real Estate Multigestão","7,41","2,3 B","2023-08-05 13:45:58.833572","0,68","-2,64 %","0,46","R$ 77,20","-0,19%"
"JTPR11","Fundo Misto: Fundo de Desenvolvimento","JT Prev FII Desenvolvimento Habitacional","-","17,4 M","2023-08-05 13:45:58.836625","30,97","N/A %","1,63","R$ 2.517,00","0,00%"
"JURO11","FIInfra: Fundo de Desenvolvimento","SPARTA INFRA FIC FI INFRA RENDA FIXA CP","-","-","2023-08-05 13:45:58.838368","N/A","0,24 %","N/A","R$ 105,80","-1,12%"
"KCRE11","Fundo Misto: Indefinido","FII KINEA CR","10,91","376,0 M","2023-08-05 13:45:58.839900","0,93","0,33 %","0,90","R$ 97,22","-0,03%"
"KEVE11","Fundo Misto: Fundo de Desenvolvimento","EVEN II KINEA","0,45","135,6 M","2023-08-05 13:45:58.842557","1,19","0,93 %","0,74","R$ 1.088,98","0,83%"
"KFOF11","Papel: Fundo de Fundos","FUNDO DE FDO INV IMOB KINEA FII","8,82","442,3 M","2023-08-05 13:45:58.843888","1,04","3,92 %","0,75","R$ 101,89","1,83%"
"KINP11","Fundo Misto: Fundo de Desenvolvimento","Even Permuta Kinea","74,48","26,4 M","2023-08-05 13:45:58.845176","2,66","-4,20 %","3,05","R$ 9,82","-1,50%"
"KISU11","Papel: Fundo de Fundos","KILIMA FIC FDO. IMOB. SUNO 30","10,24","406,6 M","2023-08-05 13:45:58.846461","0,95","0,34 %","0,07","R$ 8,76","-0,11%"
"KIVO11","Papel: Papéis","FII KIVO","17,45","114,7 M","2023-08-05 13:45:58.847736","0,98","0,82 %","1,20","R$ 92,10","-1,49%"
"KNCA11","Fiagro: Indefinido","FIAGRO KINEA","14,89","1,4 B","2023-08-05 13:45:58.849062","1,05","0,65 %","1,13","R$ 106,44","0,65%"
"KNCR11","Papel: Papéis","Kinea Rendimentos Imobiliários","14,25","5,8 B","2023-08-05 13:45:58.850521","0,97","0,26 %","1,15","R$ 97,40","0,40%"
"KNHY11","Papel: Papéis","Kinea High Yield CRI","11,74","1,9 B","2023-08-05 13:45:58.853158","0,96","-0,12 %","0,85","R$ 97,92","-0,08%"
"KNIP11","Papel: Papéis","Kinea Índice de Preços","9,83","7,9 B","2023-08-05 13:45:58.855114","0,92","0,02 %","0,52","R$ 91,00","0,22%"
"KNPR11","Fundo Misto: Indefinido","FII KINEA PR","-","58,7 M","2023-08-05 13:45:58.856659","N/A","N/A %","3,88","R$ 0,00","0,00%"
"KNRI11","Fundo Misto: Misto","Kinea Renda Imobiliária","7,29","3,9 B","2023-08-05 13:45:58.859289","1,01","0,39 %","0,95","R$ 162,02","0,11%"
"KNSC11","Papel: Papéis","KINEA SECURITIES FDO. DE INV. IMOB. - FII","11,17","1,2 B","2023-08-05 13:45:58.860593","0,97","0,30 %","0,70","R$ 88,31","0,16%"
"LATR11B","Fundo Misto: Fundo de Desenvolvimento","Lateres","202,33","1,2 M","2023-08-05 13:45:58.863310","0,95","0,11 %","10,00","R$ 9,51","0,11%"
"LAVF11","Fundo Misto: Indefinido","FII LAVOURA","-","116,2 K","2023-08-05 13:45:58.864692","N/A","N/A %","1,30","R$ 0,00","0,00%"
"LFTT11","Papel: Papéis","LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO","6,40","217,1 M","2023-08-05 13:45:58.865998","1,73","-0,26 %","3,67","R$ 50,75","-0,10%"
"LGCP11","Tijolo: Imóveis Industriais e Logísticos","LOGCP INTER FDO INV IMOB","8,70","281,1 M","2023-08-05 13:45:58.869094","0,83","-1,79 %","0,64","R$ 85,44","-0,07%"
"LIFE11","Tijolo: Imóveis Comerciais - Outros","FII LIFE","15,96","173,8 M","2023-08-05 13:45:58.871950","1,01","-0,39 %","0,12","R$ 10,30","-0,29%"
"LKDV11","Papel: Papéis","FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1","-","66,6 M","2023-08-05 13:45:58.873666","0,97","N/A %","N/A","R$ 969,58","0,00%"
"LLAO11","Fundo Misto: Misto","FII BS2","-","34,5 M","2023-08-05 13:45:58.875274","N/A","N/A %","0,71","R$ 0,00","0,00%"
"LPLP11","Fundo Misto: Indefinido","FII LAGO PDR","-","131,5 M","2023-08-05 13:45:58.878108","N/A","N/A %","9,26","R$ 0,00","0,00%"
"LRDI11","Fundo Misto: Indefinido","FII LEBLON","-","31,0 M","2023-08-05 13:45:58.879914","N/A","N/A %","N/A","R$ 0,00","0,00%"
"LSAG11","Outros: Misto","Leste","-","-","2023-08-05 13:45:58.881810","N/A","0,59 %","N/A","R$ 105,04","0,40%"
"LSPA11","Papel: Papéis","LESTE RIVA EQUITY PREFERENCIAL I","8,98","46,3 M","2023-08-05 13:45:58.885179","0,89","N/A %","0,80","R$ 101,30","-5,62%"
"LVBI11","Tijolo: Imóveis Industriais e Logísticos","FDO INV IMOB - VBI LOGÍSTICO","7,64","1,4 B","2023-08-05 13:45:58.889498","1,02","1,81 %","0,79","R$ 118,61","0,10%"
"MANA11","Fundo Misto: Indefinido","FII MANATI","13,77","192,9 M","2023-08-05 13:45:58.892108","1,01","2,58 %","0,11","R$ 9,95","0,71%"
"MATV11","Fundo Misto: Indefinido","MORE GESTÃO ATIVA DE RECEBÍVEIS FDO DE INV IMOB","8,31","39,9 M","2023-08-05 13:45:58.893520","0,92","4,00 %","0,60","R$ 86,63","-0,01%"
"HUCG11","Tijolo: Hospitalar","FII UNIMED C","6,17","115,0 M","2023-08-05 13:45:58.794479","0,99","3,02 %","0,32","R$ 101,99","-0,66%"
"HUSC11","Tijolo: Hospitalar","Hospital Unimed Sul Capixaba","9,67","119,1 M","2023-08-05 13:45:58.796002","0,76","3,19 %","0,92","R$ 110,00","-3,51%"
"MBRF11","Tijolo: Lajes Corporativas","Mercantil do Brasil","-","-","2023-08-05 13:45:58.899021","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MCCI11","Papel: Papéis","FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII","13,01","1,6 B","2023-08-05 13:45:58.900448","0,99","3,56 %","0,95","R$ 95,09","2,28%"
"MCFF11","Outros: Indefinido","FII MAUA FOF","-","-","2023-08-05 13:45:58.904113","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MCHF11","Papel: Papéis","MAUÁ CAPITAL HEDGE FUND","13,48","308,0 M","2023-08-05 13:45:58.907369","0,98","1,41 %","0,10","R$ 9,36","0,11%"
"MFAI11","Papel: Fundo de Fundos","MERITO FDO. AÇÕES IMOB. FII - FDO INV. IMOB.","9,15","26,2 M","2023-08-05 13:45:58.910175","0,98","2,68 %","0,57","R$ 71,90","0,14%"
"MFCR11","Fundo Misto: Indefinido","FII MERITO R","12,48","10,7 M","2023-08-05 13:45:58.911643","0,98","2,04 %","1,40","R$ 103,90","-0,01%"
"MFVI11","Outros: Indefinido","FII MV9","-","-","2023-08-05 13:45:58.914382","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MGCR11","Papel: Papéis","MOGNO CRI HIGH GRADE","130,30","130,5 M","2023-08-05 13:45:58.915797","0,10","-89,25 %","1,04","R$ 9,40","1,51%"
"MGFF11","Papel: Fundo de Fundos","Mogno Fundo de Fundos","8,27","680,0 M","2023-08-05 13:45:58.917205","0,92","0,26 %","0,50","R$ 69,18","-0,50%"
"MGHT11","Tijolo: Hotéis","FDO. INV. IMOB. MOGNO HOTEIS","12,90","114,6 M","2023-08-05 13:45:58.918518","0,80","1,60 %","0,80","R$ 69,80","1,01%"
"MGLC11","Fundo Misto: Fundo de Desenvolvimento","MOGNO PROPERTIES","-","-","2023-08-05 13:45:58.921809","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MGLG11","Tijolo: Imóveis Industriais e Logísticos","MOGNO LOGÍSTICA FUNDO DE INVEST. IMOBILIARIO","10,40","116,1 M","2023-08-05 13:45:58.923635","0,55","4,04 %","0,35","R$ 40,99","0,73%"
"MGRI11","Fundo Misto: Indefinido","FII MGRI","-","24,1 M","2023-08-05 13:45:58.925001","N/A","N/A %","2,56","R$ 0,00","0,00%"
"MINT11","Tijolo: Educacional","MINT EDUCACIONAL","-","67,9 M","2023-08-05 13:45:58.926305","0,86","0,02 %","N/A","R$ 112,00","0,02%"
"MMPD11","Fundo Misto: Indefinido","FII MAUA MPD","-","58,6 M","2023-08-05 13:45:58.927588","N/A","N/A %","5,18","R$ 0,00","0,00%"
"MMVE11","Fundo Misto: Indefinido","FII MMVE OP","-","73,4 M","2023-08-05 13:45:58.928875","1,04","N/A %","N/A","R$ 163,84","-1,20%"
"MORC11","Papel: Papéis","MORE RECEBÍVEIS IMOBILIÁRIOS FII","14,46","148,1 M","2023-08-05 13:45:58.931516","0,96","0,91 %","1,10","R$ 93,85","0,16%"
"MTOF11","Tijolo: Lajes Corporativas","MULTIOFFICES 1","-","163,6 M","2023-08-05 13:45:58.934480","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MTRS11","Fundo Misto: Papéis","FDO INV IMOB - BTG PACTUAL METROPOLIS","-","-","2023-08-05 13:45:58.935975","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MVFI11","Fundo Misto: Misto","FDO INV IMOB MV9","-","121,6 M","2023-08-05 13:45:58.939332","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MXRF11","Papel: Papéis","Maxi Renda","12,34","2,3 B","2023-08-05 13:45:58.940764","1,06","0,66 %","0,12","R$ 10,70","0,56%"
"NAVT11","Papel: Papéis","NAVI IMOBILIÁRIO TOTAL RETURN","11,26","102,2 M","2023-08-05 13:45:58.942102","0,93","0,46 %","0,90","R$ 90,45","-0,34%"
"NCHB11","Papel: Papéis","FII NCH EQI","16,16","154,9 M","2023-08-05 13:45:58.943418","0,93","0,72 %","1,00","R$ 85,15","0,06%"
"NCHB11B","Outros: Indefinido","FII NCH BRA","-","-","2023-08-05 13:45:58.944728","N/A","N/A %","N/A","R$ 0,00","0,00%"
"NCRA11","Fiagro: Indefinido","NCH EQI Recebíveis do Agronegócio","18,24","43,1 M","2023-08-05 13:45:58.946029","0,97","0,09 %","0,10","R$ 11,13","-0,45%"
"NCRI11","Papel: Papéis","NAVI CRÉDITO IMOBILIÁRIO","8,22","40,6 M","2023-08-05 13:45:58.947324","0,91","0,87 %","0,10","R$ 9,30","-1,59%"
"NEWL11","Tijolo: Imóveis Industriais e Logísticos","Newport Logística","10,44","240,5 M","2023-08-05 13:45:58.948609","0,96","-0,21 %","0,95","R$ 113,66","0,01%"
"NSLU11","Tijolo: Hospitalar","Hospital Nossa Sra Lourdes","9,09","257,9 M","2023-08-05 13:45:58.951408","0,96","4,22 %","1,56","R$ 191,19","-0,35%"
"NSLU11B","Outros: Indefinido","FII LOURDES","-","-","2023-08-05 13:45:58.954331","N/A","N/A %","N/A","R$ 0,00","0,00%"
"NVIF11B","Fundo Misto: Fundo de Desenvolvimento","FII NOVA I","2,54","116,9 M","2023-08-05 13:45:58.957912","0,64","N/A %","0,89","R$ 227,50","0,00%"
"OGIN11","FIInfra: Fundo de Desenvolvimento","ÓRAMA FIC FI-Infra","-","-","2023-08-05 13:45:58.959361","N/A","N/A %","N/A","R$ 0,00","0,00%"
"OIAG11","Fiagro: Indefinido","Ourinvest Innovation","15,88","88,4 M","2023-08-05 13:45:58.960849","0,98","-2,46 %","0,11","R$ 9,50","-1,66%"
"ONEF11","Tijolo: Lajes Corporativas","The One","5,92","209,5 M","2023-08-05 13:45:58.962169","0,85","-0,97 %","1,02","R$ 194,36","-1,63%"
"ORPD11","Papel: Fundo de Desenvolvimento","FII OURO PRT","-","42,6 M","2023-08-05 13:45:58.963461","0,63","-3,13 %","1,38","R$ 93,00","0,00%"
"OUCY11","Papel: Papéis","FII OURICYRE","-","-","2023-08-05 13:45:58.964756","N/A","N/A %","N/A","R$ 0,00","0,00%"
